Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Shoulder_Ground_Angle,Elbow_Ground_Angle,Hip_Ground_Angle,Knee_Ground_Angle,Ankle_Ground_Angle,Label
left,10.63920803404762,174.46681314743896,174.7851426131783,179.84813950849326,179.41927559124383,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,10.59034173772867,174.42870576373932,174.76504154978053,179.77521495268402,179.38614726475583,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,10.546745992477252,174.48943107995686,174.78579003462437,179.6600166978567,179.33371046789827,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,10.487682353729655,174.6149130687196,174.759541804826,179.61422269918637,179.3139261716296,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,10.412106786716327,174.7585025514391,174.73772099013212,179.57056378484785,179.29880470559578,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,10.333750122002476,174.89647797223307,174.7176097672167,179.5372861539969,179.29059270226438,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,10.264989051363049,175.01911864102487,174.6888749924772,179.4977813600154,179.278231871037,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,10.184175400313705,175.14519706251946,174.67646737142854,179.46730473346668,179.27892401655163,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,10.123361049456086,175.3588906647227,174.64065714275858,179.44538803264078,179.27427397376505,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,9.953478135496786,175.73548560940273,174.70892415226172,179.36605754383993,179.27690040550843,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,9.798611167199462,176.23969390943418,174.84661488236625,179.2408888325812,179.27113152296144,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,9.620024839075011,177.65032528943834,175.24328035918572,178.9922268327541,179.2650783418112,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,9.593304760276546,179.8198791379595,175.42454263182225,178.97369789685865,179.3277814894639,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,10.625370872614642,174.79494502324437,175.80636450715394,178.7714338092584,179.36095529630418,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,13.036574353144283,172.28406440158975,175.96890212857363,178.71931437455964,179.37490466460463,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,19.744474436214716,166.649675526722,175.9701557516838,179.02612551943463,179.62445476254535,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,27.093847414995864,161.79234417875952,175.94689730672195,178.9924961848368,179.62385390283194,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,40.412297692279076,156.5091878106674,175.57697472064692,179.8463323650841,179.89836355865694,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,48.66470840886025,148.03194638038545,175.5319434999799,179.61047961880817,179.746037597866,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,62.7355515644492,131.66448929779003,175.42762179606046,178.13703931748972,178.14914125080153,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,72.33886637662457,124.0438140462121,174.05161015363475,178.6444320971499,177.2935959304246,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,92.67203129423844,127.37886779576847,171.3917845148935,179.7146114398839,175.5936463677154,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,106.30537632451276,129.6819855485628,168.77270333261427,179.27318519928718,174.0108614531709,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,122.45343888709633,142.01000886079194,165.93712377086354,178.66036370279136,171.46715494948396,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,131.71130409988925,137.33334689191926,164.34228156340842,179.16003560351805,169.17252654397635,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,131.45799964398455,120.81309662117465,163.11692763693188,179.69294081245704,165.9814640026587,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,140.1438642218304,118.1224124582451,161.07720307844755,179.09778260911315,164.95751183706477,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,149.22087987658713,121.25823200826062,159.35783885315004,177.9177749877773,164.23823520891804,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,152.3224347836537,126.15971575352654,159.4450086669517,177.5764560288108,164.63235869543152,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,147.32201641140287,130.2517690423237,161.45320463277307,178.59689831040941,165.49872424002908,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,140.49345617493177,132.31002638622252,161.85483925865867,178.67866639215592,166.01524321179906,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,118.75978325273539,130.12508482554225,162.1390845910136,178.17799599415855,167.66548802943282,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,94.3330435772846,116.57978110049774,164.68085657962226,177.7950243130941,171.05533075015182,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,61.6950868673803,113.23624666392496,170.3191941882054,179.72738892459762,174.96672702570328,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
left,44.08884360038397,129.85715544202108,173.7272649712843,178.76346315114384,177.02345336030996,90.0,90.0,90.0,90.0,90.0,Jumping Jacks
